date,cpi_monthly_pct,bank_rate,d_bank_rate,output_gap,rulc,narrative_aggregate,energy_subindex,wage_subindex,supply_subindex
2010-01-01,-0.2,0.5,,-0.2951983275244707,1.0991530085605383,-0.0920220086859031,-0.0236552432179451,-0.6013174057006836,0.3365294635295868
2010-02-01,0.4,0.5,0.0,1.3707941238287447,0.7873860320549042,-0.2376020979881286,-0.3619003742933273,-0.2271295562386512,-0.3418017517436634
2010-03-01,0.6,0.5,0.0,2.7171848681236455,0.44436381825345705,-0.2376020979881286,-0.3619003742933273,-0.2271295562386512,-0.3418017517436634
2010-04-01,0.6,0.5,0.0,1.0789806702291571,0.08948833087023544,-0.2376020979881286,-0.3619003742933273,-0.2271295562386512,-0.3418017517436634
2010-05-01,0.2,0.5,0.0,1.5255010241147282,-0.1529612641649969,-0.2070016170619055,0.1019148007035255,-0.341599702835083,-0.3015353977680206
2010-06-01,0.1,0.5,0.0,0.2511865739840857,-0.24178985231726458,-0.2988276772201061,-0.5972431153059006,-0.1315947473049163,-0.7952032834291458
2010-07-01,-0.2,0.5,0.0,-0.3319828652545098,-0.2536855470854249,-0.2128971733538241,-0.5330684930086136,-0.5351387023925781,0.0114693343639373
2010-08-01,0.5,0.5,0.0,-0.3097222752248108,-0.30227909360025507,-0.4184771361760795,-0.5975051919619242,-0.8970011728150504,-0.4212844466621225
2010-09-01,0.0,0.5,0.0,-0.8108313581164595,-0.44972576935959907,-0.4240595038588109,-0.5644515231251717,-0.8221882283687592,-0.5250833839178085
2010-10-01,0.3,0.5,0.0,0.6376988193686373,-0.5288570092315759,-0.2113355985812602,-0.2874868631362915,-0.2576696972052256,-0.2355412244796753
2010-11-01,0.4,0.5,0.0,-1.1174623257459437,-0.320177945743616,-0.1514999532494051,0.1674250960350036,-0.2578817958181554,-0.1085730642080307
2010-12-01,1.0,0.5,0.0,-1.8612052363852882,0.27450014875043394,0.1187133520411757,0.2532510587147304,0.0457398976598467,-0.0906804613769054
2011-01-01,0.1,0.5,0.0,-0.7269377451827097,1.0138604705442589,0.1187133520411757,0.2532510587147304,0.0457398976598467,-0.0906804613769054
2011-02-01,0.7,0.5,0.0,-3.3994740015780955,1.4931066249179281,-0.0549648718621868,0.0700504439217703,-0.0232309490442276,-0.0140917622126065
2011-03-01,0.3,0.5,0.0,-3.978416088345682,1.4604211088172114,-0.2656537415459752,-0.3010977208614349,-0.4898207366466522,-0.2865287448678698
2011-04-01,1.0,0.5,0.0,-4.462765309713834,1.063135655577696,-0.1891735581681132,-0.2301419052210721,-0.2093379327229091,-0.2414444014430046
2011-05-01,0.2,0.5,0.0,-3.115258478238392,0.5590627019073757,-0.3420125487127474,-0.44210005402565,-0.628227401863445,-0.322248444892466
